director,belongs_to_collection,budget,id,popularity,revenue,runtime,belongs_to_collection.id,averageRating,numVotes,ROI,movies
Abel Ferrara,,13000000.0,4722.0,12.83,428868.0,87.0,,6.0,16810.0,0.032989846153846154,1
Adam Shankman,,42500000.0,2497.0,13.7735,92589268.5,110.0,,5.949999999999999,98563.0,2.25776478,2
Adrian Lyne,,29250000.0,2388.75,17.425,126159547.5,112.25,,6.6,73251.0,8.416955409342105,4
Agnieszka Holland,,11000000.0,1590.0,12.691,6191746.0,104.0,,6.8,13069.0,0.562886,1
Aki Kaurismäki,,1380000.0,1379.0,4.331,1615018.0,78.0,,6.8,6515.0,1.1703028985507247,1
Akira Kurosawa,,1125000.0,447.0,14.793,184205.0,147.5,,8.399999999999999,235890.0,0.2610965,2
Alain Chabat,,58500000.0,2899.0,13.944,111127553.0,108.0,2396.0,6.6,49439.0,1.8996162905982905,1
Alain Corneau,,6000000.0,4274.0,3.356,0.0,180.0,,6.2,880.0,0.0,1
Alan J. Pakula,,33666666.666666664,1944.6666666666667,11.293333333333335,74640061.33333333,119.66666666666667,,7.066666666666666,62314.333333333336,4.958488484313726,3
Alan Parker,,16000000.0,1133.5,10.758,25894816.0,120.5,,7.55,85041.5,1.658926431372549,2
Alejandro Agresti,,40000000.0,2044.0,15.882,114830111.0,99.0,,6.8,141139.0,2.870752775,1
Alejandro Amenábar,,10902000.0,1916.0,13.842333333333334,82950164.0,114.33333333333333,,7.766666666666666,160595.33333333334,5.1619855157122405,3
Alejandro G. Iñárritu,,15666666.666666666,563.0,16.537,72222162.66666667,140.33333333333334,,7.7,246993.33333333334,6.296277576666667,3
Alex Proyas,,73500000.0,2357.0,21.042,187217616.0,107.5,,7.35,344812.5,1.9505217055555555,2
Alexander Payne,,30000000.0,2755.0,11.303,105834556.0,125.0,,7.1,122892.0,3.5278185333333334,1
Alexander Witt,,45000000.0,1577.0,20.588,129394835.0,94.0,17255.0,6.2,186961.0,2.875440777777778,1
Alfonso Cuarón,,67500000.0,1032.0,74.0585,411710623.0,123.5,1241.0,7.75,336616.5,6.399379023076923,2
Alfred Hitchcock,,2125497.0555555555,1139.9444444444443,13.548555555555556,11029961.833333334,113.77777777777777,405313.0,7.661111111111111,156691.0,7.566132298260034,18
Anand Tucker,,10284523.0,2610.0,12.864,11588205.0,104.0,,6.3,23345.0,1.1267615425625477,1
Anders Thomas Jensen,,3700000.0,1023.0,9.965,0.0,94.0,,7.8,46026.0,0.0,1
Andreas Dresen,,600000.0,316.0,1.581,0.0,111.0,,7.1,1594.0,0.0,1
Andreas Prochaska,,2000000.0,1256.0,3.785,0.0,97.0,232407.0,5.5,2418.0,0.0,1
Andrei Tarkovsky,,472685.0,1397.0,12.344999999999999,24420.5,134.5,,8.149999999999999,79436.0,0.029587336588439123,2
Andrew Adamson,,202500000.0,1432.5,48.919,582339341.5,146.5,420.0,6.7,282131.5,3.002071026111111,2
Andrew Davis,,35000000.0,3304.0,16.456,64019184.0,123.0,,6.7,83838.0,1.0669864,2
Andrew Dominik,,30000000.0,4512.0,11.629,14711793.0,160.0,,7.5,170286.0,0.4903931,1
Andrew Niccol,,43000000.0,1306.0,23.527,42574922.5,114.0,,7.699999999999999,288723.5,0.9002370272222222,2
Andrzej Bartkowiak,,25000000.0,2085.0,14.641,91036760.0,115.0,,6.1,67002.0,3.6414704,1
Andy Tennant,,75000000.0,1439.0,11.343,113996937.0,148.0,,6.7,35825.0,1.51995916,1
Ang Lee,,39800000.0,2277.4,19.8998,167720933.6,136.8,290973.0,7.24,194664.0,7.990583830771433,5
Angela Robinson,,3500000.0,540.0,16.642,0.0,91.0,,5.3,14890.0,0.0,1
Anthony Minghella,,48666666.666666664,1303.6666666666667,16.917,177929399.66666666,151.66666666666666,721108.0,7.333333333333333,167862.0,4.667240162388655,3
Antoine Fuqua,,45000000.0,2034.0,26.494,104876233.0,122.0,,7.7,394052.0,2.3305829555555557,1
Arthur Maria Rabenalt,,92.0,2971.0,1.671,0.0,92.0,,6.0,311.0,0.0,1
Arthur Penn,,1500000.0,818.5,10.222000000000001,26600000.0,108.0,,7.949999999999999,59561.5,12.64,2
Aziz Mirza,,4600000.0,4252.0,5.264,18000000.0,175.0,,6.6,14564.0,3.9130434782608696,1
Barry Levinson,,34400000.0,1151.6,13.849599999999999,155250301.2,124.4,,7.32,187003.2,6.535003478,5
Barry Sonnenfeld,,69400000.0,1813.0,23.088199999999997,256024940.2,93.4,48885.5,6.74,220733.4,3.4682449023302935,5
Basil Dearden,,525497.0,4910.0,5.433,0.0,88.0,,6.4,2139.0,0.0,1
Baz Luhrmann,,33500000.0,639.0,16.805500000000002,163256097.5,123.5,,7.15,240005.0,6.7860622302134646,2
Ben Affleck,,19000000.0,4771.0,14.712,34619699.0,113.0,,7.6,252033.0,1.8220894210526315,1
Ben Stiller,,11500000.0,2788.0,10.925,20079850.0,99.0,,6.6,46347.0,1.7460739130434784,1
Bennett Miller,,7000000.0,398.0,13.653,49084830.0,114.0,,7.3,126020.0,7.012118571428571,1
Bernardo Bertolucci,,16650000.0,1845.2,14.35,20021506.8,172.2,,7.140000000000001,59100.8,6.394887892836438,5
Betty Thomas,,71000000.0,3050.0,20.543,294456605.0,85.0,3169.0,5.4,91805.0,4.147276126760564,1
Bill Condon,,40000000.0,2079.0,11.6155,80694654.0,119.5,,6.9,49342.0,1.4292791142857144,2
Bille August,,27500000.0,2066.5,10.2085,0.0,127.5,,7.0,16377.5,0.0,2
Billy Wilder,,2778080.0,857.125,12.260000000000002,10837500.0,117.5,,7.974999999999999,107482.0,3.615703801435219,8
Blake Edwards,,10250000.0,541.0,12.3625,24410857.5,104.5,,6.8,94258.5,2.9922698611111107,2
Bob Clark,,3300000.0,850.0,12.161,20653717.0,93.0,201873.0,7.9,133353.0,6.258702121212121,1
Bob Rafelson,,12000000.0,2017.0,11.881,0.0,97.0,,5.5,7002.0,0.0,1
Bong Joon Ho,,11000000.0,1255.0,33.163,88489643.0,120.0,,7.1,108542.0,8.044513,1
Bonnie Hunt,,24000000.0,2621.0,11.563,36609995.0,115.0,,6.9,19696.0,1.5254164583333334,1
Brad Anderson,,5000000.0,4553.0,15.202,8203235.0,101.0,,7.7,360510.0,1.640647,1
Brad Silberling,,55000000.0,795.0,17.234,198685114.0,114.0,,6.7,114143.0,3.612456618181818,1
Bret Michaels,,12000000.0,1711.0,7.455,0.0,93.0,,4.9,1405.0,0.0,1
Brett Ratner,,33000000.0,2109.0,32.663,244386864.0,98.0,90863.0,7.0,240261.0,7.405662545454545,1
Brian De Palma,,55000000.0,812.25,27.4,165224899.0,128.25,87359.0,7.250000000000001,372980.25,3.0224439765277777,4
Brian Helgeland,,90000000.0,2112.0,18.876,161626121.0,100.0,,7.1,131983.0,1.7958457888888888,1
Brian Levant,,64500000.0,888.5,31.843000000000004,200549741.5,90.5,351684.0,4.300000000000001,49014.5,4.071625316134101,2
Brian O'Hara,,250000.0,3144.0,6.592,0.0,88.0,,4.2,268.0,0.0,1
Bronwen Hughes,,75000000.0,1641.0,12.976,93888180.0,105.0,,5.4,32530.0,1.2518424,1
Bruce A. Evans,,20000000.0,3432.0,14.724,41637263.0,120.0,,7.3,144041.0,2.08186315,1
Bruce Beresford,,16250000.0,922.0,12.028,75671248.0,97.5,,6.449999999999999,61805.5,9.830537066666666,2
Bruce Campbell,,1500000.0,1961.0,13.499,173066.0,86.0,,6.2,23685.0,0.11537733333333333,1
Bryan Singer,,117000000.0,1444.6666666666667,20.176000000000002,204899586.66666666,127.0,8537.0,7.2,499565.0,2.669685619753086,3
Cameron Crowe,,64000000.0,1344.5,15.215,125386015.0,129.0,,7.4,252008.0,1.8903665823529412,2
Carl Franklin,,50000000.0,2116.0,13.629,55495563.0,105.0,,6.5,57351.0,1.10991126,1
Carlos Carrera,,1800000.0,542.0,10.352,0.0,118.0,,6.7,13131.0,0.0,1
Carlos Saldanha,,80000000.0,950.0,56.636,660998756.0,91.0,8354.0,6.8,258262.0,8.26248445,1
Catherine Breillat,,6500000.0,2002.0,3.717,0.0,114.0,,6.2,3348.0,0.0,1
Catherine Hardwicke,,35000000.0,2447.0,14.857,0.0,101.0,,6.8,10134.0,0.0,1
Chan-wook Park,,6500000.0,2599.6666666666665,14.508000000000001,5644980.666666667,119.66666666666667,,7.933333333333333,203197.33333333334,1.8273564166666667,3
Chang-dong Lee,,2900000.0,2015.0,8.793,11581469.0,142.0,,7.5,7182.0,3.99361,1
Charles B. Pierce,,160000.0,1842.0,5.481,22000000.0,87.0,,5.2,2844.0,137.5,1
Charles Chaplin,,1884600.0,1768.6,12.5126,4803836.2,101.4,,7.9399999999999995,140216.2,2.8918883236031574,5
Charles Jarrott,,900000.0,3024.0,3.119,0.0,120.0,,6.8,520.0,0.0,1
Charles Laughton,,795000.0,3112.0,11.168,0.0,93.0,,8.0,82506.0,0.0,1
Charlie Kaufman,,21000000.0,4960.0,13.385,0.0,124.0,,7.6,83865.0,0.0,1
Chris Columbus,,60857142.85714286,1112.0,54.689,451685767.4285714,132.42857142857142,5564.5,7.171428571428572,347833.14285714284,11.635506113968253,7
Chris Kentis,,130000.0,83.0,25.675,54667954.0,79.0,86113.0,5.7,51197.0,420.52272307692306,1
Chris Nahon,,27500000.0,1795.0,15.7085,35156188.5,94.5,,5.949999999999999,37743.0,1.3866657733333334,2
Chris Weitz,,180000000.0,2268.0,19.993,372234864.0,113.0,,6.1,179924.0,2.0679714666666666,1
Christian Petzold,,3000000.0,1614.0,3.8615,0.0,97.5,,6.85,2472.0,0.0,2
Christophe Gans,,50000000.0,588.0,30.443,97607453.0,125.0,64748.0,6.5,214511.0,1.95214906,1
Christopher McQuarrie,,8500000.0,1619.0,10.834,19125401.0,119.0,,6.7,31887.0,2.2500471764705883,1
Christopher Nolan,,86000000.0,389.6,34.75500000000001,328378270.8,130.6,263.0,8.26,1249199.0,3.510496685329808,5
Chuck Russell,,23000000.0,854.0,36.412,351583407.0,101.0,43072.0,6.9,348941.0,15.286235086956522,1
Claude Berri,,4940939.0,4480.0,9.772,0.0,120.0,39460.0,8.0,24135.0,0.0,1
Clint Eastwood,,38425000.0,1211.625,18.153375,126552721.5,134.125,261382.0,7.65,259656.5,4.942230899790669,8
Cristian Mungiu,,852510.0,2009.0,6.466,1185783.0,114.0,,7.9,56927.0,1.3909314846746665,1
Curtis Hanson,,43666666.666666664,1377.6666666666667,20.864333333333335,125851234.66666667,124.0,,7.066666666666666,268857.3333333333,3.227943170773941,3
Cédric Klapisch,,9150000.0,1690.5,9.014,13812550.0,125.5,239766.0,7.15,29608.0,1.280305386792453,2
D.W. Griffith,,4247375.5,1838.5,12.523,7500000.0,195.0,,7.0,18615.0,55.238244112303036,2
Daniel Sackheim,,30000000.0,2176.0,14.193,23619609.0,106.0,520790.0,5.8,33667.0,0.7873203,1
Danny Boyle,,24750000.0,994.0,22.837,70268787.5,108.25,212883.5,7.3999999999999995,368932.25,6.39110126625,4
Danny Cannon,,65000000.0,3600.0,22.546,40002112.0,100.0,3601.0,4.7,69086.0,0.6154171076923077,1
Danny DeVito,,26000000.0,249.0,8.779,160188546.0,116.0,,6.9,48339.0,6.161097923076923,1
Darren Aronofsky,,13186666.666666666,831.6666666666666,14.031333333333334,8638716.666666666,94.0,,7.633333333333334,390629.3333333333,18.588465153439152,3
Darren Lynn Bousman,,8000000.0,364.0,34.74066666666666,152051513.66666666,99.66666666666667,656.0,6.233333333333334,184569.33333333334,22.85140601666667,3
David Ayer,,20000000.0,1266.0,15.669,65569869.0,109.0,124881.0,6.8,107554.0,3.27849345,1
David Carson,,38000000.0,193.0,13.537,120000000.0,118.0,115570.0,6.6,76866.0,3.1578947368421053,1
David Cronenberg,,21742000.0,1453.3333333333333,16.186833333333333,20304097.5,98.66666666666667,,7.083333333333333,122087.33333333333,0.5890505904079454,6
David Fincher,,68166666.66666667,2570.6666666666665,25.5155,192231133.83333334,138.16666666666666,,7.916666666666665,833208.8333333334,3.5573839671050247,6
David Frankel,,35000000.0,350.0,35.548,326551094.0,109.0,,6.9,374386.0,9.330031257142856,1
David Kellogg,,40500000.0,914.0,11.350999999999999,596531.0,84.5,237445.0,3.55,27316.5,0.09942183333333333,2
David Koepp,,40000000.0,1586.0,26.088,92913171.0,96.0,,6.6,183226.0,2.322829275,1
David L. Cunningham,,29500000.0,2028.5,10.971499999999999,15926309.5,101.0,,5.9,12608.0,0.35391798888888887,2
David Lean,,9666666.666666666,893.3333333333334,15.793666666666667,75587249.33333333,196.0,,8.133333333333335,181631.33333333334,9.93487814141414,3
David Lynch,,12278888.888888888,1004.4444444444445,14.286777777777777,13467162.666666666,124.66666666666667,,7.522222222222221,149781.88888888888,79.06174845877193,9
David Mackenzie,,7200000.0,1238.0,10.279,1280320.5,94.0,,6.7,12782.5,0.1991025625,2
David Moreton,,1500000.0,4927.0,13.134,870751.0,104.0,,6.8,5850.0,0.5805006666666667,1
David O. Russell,,14500000.0,1836.5,11.4785,7351219.0,99.0,,6.65,40104.5,1.050174142857143,2
David R. Ellis,,33000000.0,326.0,16.827,62022014.0,105.0,,5.4,132887.0,1.8794549696969698,1
David Silverman,,75000000.0,35.0,67.205,527068851.0,87.0,,7.3,309937.0,7.02758468,1
David Slade,,15475000.0,3582.5,19.8385,41264091.0,108.0,91660.0,6.85,159841.0,4.9543323570175435,2
David Twohy,,64000000.0,2788.0,11.517,84480196.0,113.5,2794.0,6.9,220604.0,1.7075521850931676,2
David Wain,,5000000.0,2171.0,10.944,295206.0,97.0,,6.6,54410.0,0.0590412,1
David Yates,,200000000.0,721.0,112.9085,936085967.5,145.5,1241.0,7.55,497002.5,4.995294187333333,2
David Zucker,,35666666.666666664,3781.0,26.381333333333334,132978612.33333333,83.33333333333333,4246.0,5.1,93526.66666666667,2.8529167476851853,3
Davis Guggenheim,,1000000.0,1781.0,12.881,46243000.0,100.0,539554.0,7.4,80505.0,46.243,1
Dean Parisot,,45000000.0,926.0,11.674,90683916.0,101.0,,7.3,150614.0,2.0151981333333335,1
Dennis Dugan,,85000000.0,3563.0,20.468,187134117.0,115.0,,5.9,141459.0,2.2015778470588234,1
Dennis Hopper,,360000.0,624.0,12.697,0.0,95.0,,7.3,100641.0,0.0,1
Dick Maas,,98003.0,2093.0,7.145,0.0,105.0,,6.6,7420.0,0.0,1
Dick Richards,,2500000.0,1835.0,6.233,2000000.0,95.0,515268.0,7.1,6838.0,0.8,1
Don Bluth,,9000000.0,4978.0,14.207,84542002.0,80.0,8783.0,6.9,49079.0,9.393555777777777,1
Don Siegel,,4000000.0,984.0,16.606,35976000.0,102.0,10456.0,7.7,144093.0,8.994,1
Don Taylor,,2500000.0,1687.0,18.46,12348905.0,98.0,1709.0,6.3,32272.0,4.939562,1
Donald Petrie,,45000000.0,1493.0,22.063,212000000.0,111.0,93220.0,6.3,189228.0,4.711111111111111,1
Donna Deitch,,350000.0,294.0,8.521,2400000.0,91.0,,7.0,5301.0,6.857142857142857,1
Doug Liman,,85000000.0,1644.0,24.978499999999997,346120872.0,119.5,31562.0,7.2,481880.5,3.9572890787878787,2
Douglas McGrath,,6000000.0,3573.0,14.289,22231658.0,121.0,,6.6,36220.0,3.7052763333333334,1
Douglas Trumbull,,1000000.0,811.0,12.505,0.0,89.0,,6.7,26881.0,0.0,1
Duncan Tucker,,1000000.0,546.0,8.529,13350369.0,103.0,,7.4,40323.0,13.350369,1
Dusan Makavejev,,520000.0,1559.0,8.758,0.0,99.0,,6.2,5458.0,0.0,1
E. Elias Merhige,,33000.0,1483.0,12.43,0.0,72.0,476066.0,5.8,9958.0,0.0,1
Edgar Wright,,8000000.0,2692.5,23.016,55453079.5,110.0,,7.85,490363.5,7.148788708333333,2
Edward Norton,,30000000.0,4967.0,11.914,59945183.0,127.0,,6.3,49922.0,1.9981727666666667,1
Edward Zwick,,90000000.0,2154.6666666666665,25.148,263039420.66666666,143.33333333333334,,7.766666666666666,351621.3333333333,3.4447991877777775,3
Eli Roth,,7500000.0,1690.5,34.036500000000004,58854004.5,93.5,86578.0,5.7,128085.5,10.290946727941177,2
Elia Kazan,,903333.6666666666,525.3333333333334,11.943,5866668.333333333,116.0,,8.0,94475.0,6.664631664631664,3
Emile Ardolino,,18500000.0,1046.5,19.289,222749472.5,100.0,94815.5,6.7,147117.5,21.560049852150538,2
Eric Steel,,25000.0,1666.0,10.385,179780.0,93.0,,7.2,11068.0,7.1912,1
Erich von Stroheim,,546883.0,1405.0,9.919,0.0,140.0,,8.1,9125.0,0.0,1
Erle C. Kenton,,277000.0,3088.5,8.0245,0.0,69.0,218406.0,6.25,5873.0,0.0,2
Ernie Barbarash,,825000.0,438.0,16.116,0.0,97.0,432.0,5.7,37064.0,0.0,1
Ernst Lubitsch,,1365000.0,1859.0,12.038,2279000.0,110.0,,7.9,19143.0,1.6695970695970697,1
Eytan Fox,,1400000.0,26.0,3.549,0.0,103.0,,7.3,6548.0,0.0,1
F. Gary Gray,,53000000.0,4551.0,15.141,95226116.0,118.0,91698.0,5.7,67344.0,1.7967191698113207,1
